Exercise_Name,URL,Thumbnail_URL
Forward Lunge,https://www.youtube.com/watch?v=g8-Ge9S0aUw,https://i.ytimg.com/vi/g8-Ge9S0aUw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC_sSCnkAx6Lt_TS1rL6Wo-ef4mjg
Glute Bridge,https://www.youtube.com/watch?v=tqp5XQPpTxY,https://i.ytimg.com/vi/tqp5XQPpTxY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWYgVCuf4fjAvLzL-MBADbdxhDvQ
How To Reverse Lunge,https://www.youtube.com/watch?v=xrPteyQLGAo,https://i.ytimg.com/vi/xrPteyQLGAo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8ZXFU4XZih8X1PyXM_g992PRaUg
Jumping Lunges,https://www.youtube.com/watch?v=O-rntsAALBo,https://i.ytimg.com/vi/O-rntsAALBo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBv_gNE_MNiIAOvlbRl8hJHi9l9MA
Barbell front squat,https://www.youtube.com/watch?v=Q1Ypb8ZNzI4,https://i.ytimg.com/vi/Q1Ypb8ZNzI4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD7hViLwyka5-hh4dK3OMJZePcefQ
Goblet squat,https://www.youtube.com/watch?v=zBV3ceGyAxw,https://i.ytimg.com/vi/zBV3ceGyAxw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAnwUtVWffNPHmMUmz_zf22U39nCQ
How To Jump Squat,https://www.youtube.com/watch?v=BRfxI2Es2lE,https://i.ytimg.com/vi/BRfxI2Es2lE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVBOegsjxVqrmbIuwp0Ss2IYCYRQ
Broad Jumps,https://www.youtube.com/watch?v=uhz-ia-2UcM,https://i.ytimg.com/vi/uhz-ia-2UcM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDLYNoxtXWgfWKCxYLbrFr-WFCDSQ
Medicine Ball Slams,https://www.youtube.com/watch?v=DMrxbUgoZTg,https://i.ytimg.com/vi/DMrxbUgoZTg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDd0X1gJIkOr-cIMPPc3ioXGPtQDQ
Leg exercise -  Romanian Deadlift,https://www.youtube.com/watch?v=zU-f6DMCdAI,https://i.ytimg.com/vi/zU-f6DMCdAI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDTwByOhjWkg25gREZl5QqxZrRt0g
Press Ups,https://www.youtube.com/watch?v=Env8gAr_QnE,https://i.ytimg.com/vi/Env8gAr_QnE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC5wweMW1Z0NsAD2axRHjJw_oQfhQ
High Knees,https://www.youtube.com/watch?v=sTvekaq6vOU,https://i.ytimg.com/vi/sTvekaq6vOU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAm7u0yFSnCTapD5IwQBWMuScod7w
Sumo Squat,https://www.youtube.com/watch?v=qiQAsB0x-7k,https://i.ytimg.com/vi/qiQAsB0x-7k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCgmWGPb_Ubyf13wdMIM6SDD9qajQ
